[2020-03-23T14:24:08.118Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 4.355 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:08.121Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.298 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:08.122Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 0.677 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:08.265Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 140.347 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:08.277Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 152.173 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:08.289Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 163.539 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:27.317Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/calender/get_calender_all HTTP/1.1 [status]: 200 [response-time]: 3.570 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:27.335Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/calender/get_calender_all HTTP/1.1 [status]: 200 [response-time]: 16.663 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:29.100Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 1.187 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:29.101Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.191 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:29.105Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 0.532 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:29.109Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 3.017 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:29.111Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 4.294 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:29.112Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 304 [response-time]: 1.797 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
[2020-03-23T14:24:30.098Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/calender/get_calender_all HTTP/1.1 [status]: 304 [response-time]: 0.776 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.149 Safari/537.36
