[2020-03-11T02:17:10.712Z] [ip]: ::ffff:192.168.1.36 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 4.285 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:10.715Z] [ip]: ::ffff:192.168.1.36 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.305 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:10.716Z] [ip]: ::ffff:192.168.1.36 - [method]: OPTIONS [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 0.726 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:10.723Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 6.036 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:10.726Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 7.469 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:10.774Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 1.948 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:14.153Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 1.232 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:14.155Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 3.114 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:14.155Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 304 [response-time]: 3.762 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.190Z] [ip]: ::ffff:192.168.1.36 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.284 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.192Z] [ip]: ::ffff:192.168.1.36 - [method]: OPTIONS [url]: /api/v1/typeName/get_typeName_select HTTP/1.1 [status]: 200 [response-time]: 0.629 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.193Z] [ip]: ::ffff:192.168.1.36 - [method]: OPTIONS [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 0.168 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.198Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 2.508 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.199Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/typeName/get_typeName_select HTTP/1.1 [status]: 304 [response-time]: 3.018 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.200Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 304 [response-time]: 3.545 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.510Z] [ip]: ::ffff:192.168.1.36 - [method]: OPTIONS [url]: /api/v1/typeName/get_typeName HTTP/1.1 [status]: 200 [response-time]: 0.197 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-11T02:17:18.515Z] [ip]: ::ffff:192.168.1.36 - [method]: GET [url]: /api/v1/typeName/get_typeName HTTP/1.1 [status]: 200 [response-time]: 1.115 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
